X_values,Y_values
0.0,0.99999994
0.002004008,0.9991989
0.004008016,0.9968059
0.0060120244,0.9928373
0.008016032,0.987312
0.01002004,0.9802514
0.012024049,0.9716789
0.0140280565,0.9616204
0.016032064,0.9501038
0.018036073,0.9371593
0.02004008,0.9228187
0.022044089,0.90711653
0.024048097,0.89008826
0.026052104,0.8717722
0.028056113,0.85220766
0.03006012,0.8314359
0.03206413,0.8095
0.034068137,0.7864442
0.036072146,0.76231426
0.03807615,0.7371575
0.04008016,0.7110223
0.04208417,0.6839582
0.044088177,0.65601605
0.046092186,0.62724745
0.048096195,0.59770507
0.0501002,0.5674426
0.05210421,0.5365137
0.054108217,0.5049734
0.056112226,0.47287726
0.058116235,0.4402807
0.06012024,0.40724018
0.06212425,0.37381193
0.06412826,0.3400525
0.06613226,0.30601862
0.068136275,0.27176684
0.07014028,0.23735386
0.07214429,0.20283583
0.0741483,0.16826898
0.0761523,0.13370894
0.078156315,0.0992108
0.08016032,0.06482948
0.08216433,0.030618852
0.08416834,-0.0033675241
0.08617234,-0.037077166
0.088176355,-0.07045845
0.09018036,-0.10346041
0.09218437,-0.13603346
0.09418838,-0.16812871
0.09619239,-0.19969897
0.098196395,-0.23069738
0.1002004,-0.26107934
0.10220441,-0.2908013
0.10420842,-0.31982037
0.10621243,-0.34809625
0.108216435,-0.37558958
0.11022044,-0.4022624
0.11222445,-0.42807886
0.11422846,-0.4530044
0.11623247,-0.47700617
0.118236475,-0.5000531
0.12024048,-0.5221162
0.12224449,-0.54316777
0.1242485,-0.5631823
0.1262525,-0.5821362
0.12825651,-0.6000074
0.13026053,-0.61677605
0.13226452,-0.63242406
0.13426854,-0.64693546
0.13627255,-0.660296
0.13827656,-0.67249364
0.14028056,-0.6835179
0.14228457,-0.69336075
0.14428858,-0.70201576
0.14629258,-0.70947856
0.1482966,-0.7157468
0.1503006,-0.72082
0.1523046,-0.7246995
0.15430862,-0.7273886
0.15631263,-0.7288926
0.15831664,-0.7292186
0.16032064,-0.7283754
0.16232465,-0.7263736
0.16432866,-0.7232258
0.16633266,-0.71894616
0.16833667,-0.71355045
0.17034069,-0.70705634
0.17234468,-0.6994829
0.1743487,-0.690851
0.17635271,-0.6811827
0.17835672,-0.6705019
0.18036072,-0.65883374
0.18236473,-0.64620465
0.18436874,-0.6326427
0.18637274,-0.61817694
0.18837675,-0.6028377
0.19038077,-0.58665645
0.19238478,-0.5696658
0.19438878,-0.55189973
0.19639279,-0.5333924
0.1983968,-0.5141794
0.2004008,-0.4942976
0.20240481,-0.47378343
0.20440882,-0.45267516
0.20641282,-0.43101135
0.20841683,-0.4088309
0.21042085,-0.38617346
0.21242486,-0.3630791
0.21442886,-0.33958834
0.21643287,-0.31574184
0.21843688,-0.29158056
0.22044088,-0.26714608
0.22244489,-0.24247895
0.2244489,-0.21762091
0.2264529,-0.19261315
0.22845691,-0.16749695
0.23046093,-0.14231329
0.23246494,-0.11710302
0.23446894,-0.09190699
0.23647295,-0.0667648
0.23847696,-0.041716546
0.24048096,-0.016801527
0.24248497,0.0079414435
0.24448898,0.03247416
0.24649298,0.056758773
0.248497,0.080758974
0.250501,0.10443838
0.252505,0.12776163
0.25450903,0.15069456
0.25651303,0.17320278
0.25851703,0.19525418
0.26052105,0.21681772
0.26252505,0.23786171
0.26452905,0.2583574
0.26653308,0.27827638
0.26853707,0.29759064
0.27054107,0.31627467
0.2725451,0.33430398
0.2745491,0.3516541
0.27655312,0.36830357
0.27855712,0.3842306
0.28056112,0.39941567
0.28256515,0.41384092
0.28456914,0.4274885
0.28657314,0.44034332
0.28857717,0.45239133
0.29058117,0.46361932
0.29258516,0.4740158
0.2945892,0.48357114
0.2965932,0.49227643
0.2985972,0.5001247
0.3006012,0.50711036
0.3026052,0.5132289
0.3046092,0.5184775
0.30661324,0.5228548
0.30861723,0.52636063
0.31062123,0.52899647
0.31262526,0.53076494
0.31462926,0.5316702
0.31663328,0.53171766
0.31863728,0.53091407
0.32064128,0.52926767
0.3226453,0.52678764
0.3246493,0.52348465
0.3266533,0.5193706
0.32865733,0.5144584
0.33066133,0.5087626
0.33266532,0.5022983
0.33466935,0.4950818
0.33667335,0.48713124
0.33867735,0.4784647
0.34068137,0.46910188
0.34268537,0.45906338
0.34468937,0.44837075
0.3466934,0.43704587
0.3486974,0.42511258
0.35070142,0.41259414
0.35270542,0.39951593
0.35470942,0.38590282
0.35671344,0.37178102
0.35871744,0.35717723
0.36072144,0.3421188
0.36272547,0.3266329
0.36472946,0.3107485
0.36673346,0.29449356
0.3687375,0.2778973
0.3707415,0.26098898
0.37274548,0.24379832
0.3747495,0.22635445
0.3767535,0.20868815
0.3787575,0.19082887
0.38076153,0.17280687
0.38276553,0.15465231
0.38476956,0.13639508
0.38677356,0.11806583
0.38877755,0.09969404
0.39078158,0.081309006
0.39278558,0.06294112
0.39478958,0.044618975
0.3967936,0.026371514
0.3987976,0.008227986
0.4008016,-0.009783848
0.40280563,-0.027636863
0.40480962,-0.04530249
0.40681362,-0.06275461
0.40881765,-0.0799674
0.41082165,-0.09691443
0.41282564,-0.113571115
0.41482967,-0.12991352
0.41683367,-0.14591722
0.41883767,-0.16155972
0.4208417,-0.17681926
0.4228457,-0.1916737
0.42484972,-0.20610328
0.42685372,-0.22008792
0.4288577,-0.23360847
0.43086174,-0.24664769
0.43286574,-0.2591879
0.43486974,-0.27121332
0.43687376,-0.28270918
0.43887776,-0.29366067
0.44088176,-0.30405495
0.4428858,-0.3138801
0.44488978,-0.3231244
0.44689378,-0.3317782
0.4488978,-0.3398319
0.4509018,-0.34727788
0.4529058,-0.3541086
0.45490983,-0.36031848
0.45691383,-0.3659022
0.45891786,-0.3708561
0.46092185,-0.37517706
0.46292585,-0.3788633
0.46492988,-0.38191408
0.46693388,-0.3843295
0.46893787,-0.38611075
0.4709419,-0.38726014
0.4729459,-0.38778085
0.4749499,-0.38767698
0.47695392,-0.38695377
0.47895792,-0.3856173
0.48096192,-0.38367456
0.48296595,-0.3811335
0.48496994,-0.3780031
0.48697394,-0.37429294
0.48897797,-0.37001354
0.49098197,-0.36517647
0.49298596,-0.3597938
0.49499,-0.35387844
0.496994,-0.34744427
0.49899802,-0.34050545
0.50100195,-0.33307773
0.503006,-0.32517606
0.50501,-0.31681725
0.50701404,-0.30801833
0.50901806,-0.29879692
0.51102203,-0.2891715
0.51302606,-0.27915993
0.51503,-0.2687819
0.51703405,-0.25805673
0.5190381,-0.24700415
0.5210421,-0.23564464
0.5230461,-0.22399908
0.5250501,-0.21208817
0.5270541,-0.19993307
0.5290581,-0.18755487
0.5310621,-0.17497545
0.53306615,-0.16221653
0.5350701,-0.14930058
0.53707415,-0.13624829
0.5390781,-0.123082556
0.54108214,-0.10982503
0.5430862,-0.09649734
0.5450902,-0.08312169
0.5470942,-0.069719836
0.5490982,-0.056314085
0.55110216,-0.042924974
0.5531062,-0.02957376
0.5551102,-0.016281834
0.55711424,-0.0030699852
0.5591183,0.01004098
0.56112224,0.023031205
0.5631262,0.035880875
0.56513023,0.04857055
0.56713426,0.06108151
0.5691383,0.07339486
0.5711423,0.085492484
0.5731463,0.09735618
0.57515025,0.108969696
0.5771543,0.120316446
0.5791583,0.13138011
0.58116233,0.14214525
0.58316636,0.15259677
0.5851703,0.16272077
0.58717436,0.17250383
0.5891783,0.18193235
0.59118235,0.19099502
0.5931864,0.19967976
0.5951904,0.20797572
0.5971944,0.21587232
0.5991984,0.22336091
0.60120237,0.23043224
0.6032064,0.23707858
0.6052104,0.24329261
0.60721445,0.24906765
0.6092184,0.25439817
0.61122245,0.2592792
0.6132264,0.2637063
0.61523044,0.26767638
0.61723447,0.27118656
0.6192385,0.27423483
0.6212425,0.27682003
0.6232465,0.27894166
0.62525046,0.28060013
0.6272545,0.28179651
0.6292585,0.28253254
0.63126254,0.28281066
0.63326657,0.28263414
0.63527054,0.28200686
0.6372745,0.2809335
0.63927853,0.2794192
0.64128256,0.27747
0.6432866,0.27509245
0.6452906,0.2722938
0.6472946,0.26908198
0.64929855,0.26546532
0.6513026,0.2614527
0.6533066,0.2570539
0.65531063,0.25227904
0.65731466,0.24713863
0.6593186,0.24164402
0.66132265,0.23580654
0.6633266,0.22963873
0.66533065,0.22315253
0.6673347,0.21636108
0.6693387,0.20927772
0.6713427,0.20191646
0.6733467,0.19429058
0.67535067,0.18641496
0.6773547,0.17830384
0.6793587,0.16997238
0.68136275,0.16143532
0.6833667,0.15270838
0.68537074,0.1438066
0.6873747,0.13474627
0.68937874,0.12554228
0.69138277,0.116210915
0.6933868,0.10676815
0.6953908,0.097229965
0.6973948,0.08761284
0.69939876,0.07793211
0.7014028,0.06820377
0.7034068,0.058444213
0.70541084,0.048668854
0.70741487,0.038893677
0.70941883,0.029134562
0.7114228,0.019406978
0.7134268,0.009725557
0.71543086,0.00010587022
0.7174349,-0.009437181
0.7194389,-0.018888941
0.7214429,-0.028234575
0.72344685,-0.037460648
0.7254509,-0.04655335
0.7274549,-0.05549876
0.7294589,-0.06428418
0.73146296,-0.07289662
0.7334669,-0.081323475
0.73547095,-0.08955313
0.7374749,-0.097573444
0.73947895,-0.105374
0.741483,-0.11294372
0.743487,-0.12027229
0.74549097,-0.12734959
0.747495,-0.13416702
0.74949896,-0.14071518
0.751503,-0.14698614
0.753507,-0.15297173
0.75551105,-0.15866493
0.757515,-0.16405873
0.75951904,-0.16914712
0.761523,-0.17392404
0.76352704,-0.17838484
0.76553106,-0.18252465
0.7675351,-0.18633936
0.76953906,-0.18982534
0.7715431,-0.19298
0.7735471,-0.19580075
0.7755511,-0.19828565
0.7775551,-0.20043351
0.77955914,-0.20224361
0.7815631,-0.20371568
0.78356713,-0.20485015
0.78557116,-0.20564777
0.7875751,-0.20611008
0.78957915,-0.20623896
0.7915832,-0.20603685
0.7935872,-0.20550674
0.7955912,-0.20465213
0.7975952,-0.2034769
0.7995992,-0.20198561
0.8016032,-0.20018305
0.8036072,-0.19807461
0.80561125,-0.19566604
0.8076152,-0.19296391
0.80961925,-0.1899745
0.8116232,-0.18670511
0.81362724,-0.1831631
0.8156313,-0.17935637
0.8176353,-0.17529294
0.81963927,-0.17098172
0.8216433,-0.16643134
0.82364726,-0.16165107
0.8256513,-0.15665035
0.8276553,-0.15143873
0.82965934,-0.14602669
0.8316633,-0.14042424
0.83366734,-0.13464186
0.8356713,-0.12869027
0.83767533,-0.12258032
0.83967936,-0.11632277
0.8416834,-0.10992936
0.84368736,-0.10341114
0.8456914,-0.09677953
0.8476954,-0.090045735
0.8496994,-0.083221965
0.8517034,-0.07631952
0.85370743,-0.06934978
0.8557114,-0.062325392
0.8577154,-0.05525672
0.85971946,-0.048156414
0.8617234,-0.041035764
0.86372745,-0.033906315
0.8657315,-0.026779208
0.8677355,-0.019666497
0.8697395,-0.012579111
0.8717435,-0.0055281892
0.87374747,0.0014752822
0.8757515,0.00842081
0.8777555,0.015297083
0.87975955,0.022093983
0.8817635,0.028801274
0.88376755,0.035409257
0.8857715,0.041907202
0.88777554,0.048286855
